               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12019,            0.036157,                   0,           0.0019355,             0.15126,           0.0015058,           0.0004514,             0.11403,            0.032821,                   0,              0.0937,              0.0007,              0.0007
                   1,             0.11462,            0.033264,                   0,           0.0028902,             0.31513,           0.0044337,           0.0011944,             0.10846,            0.030629,                   0,             0.08647,           0.0014703,           0.0014703
                   2,             0.10786,            0.033718,                   0,           0.0021944,             0.33193,           0.0036189,          0.00098561,             0.10435,            0.028787,                   0,            0.079209,           0.0022089,           0.0022089
                   3,             0.10386,            0.032673,                   0,            0.002562,             0.39076,           0.0034351,           0.0010092,             0.10127,            0.026748,                   0,            0.071916,           0.0029159,           0.0029159
                   4,            0.098061,            0.030704,                   0,           0.0025344,             0.38655,           0.0067676,           0.0021132,             0.09843,            0.026451,                   0,            0.064591,           0.0035911,           0.0035911
                   5,            0.094388,            0.032531,                   0,           0.0024518,             0.37395,           0.0060759,           0.0019389,            0.096623,            0.026192,                   0,            0.057235,           0.0042347,           0.0042347
                   6,            0.090969,            0.030334,                   0,           0.0022865,             0.34874,           0.0032811,            0.001105,             0.09433,            0.026842,                   0,            0.049847,           0.0048466,           0.0048466
                   7,            0.086874,            0.033519,                   0,           0.0021488,             0.32773,           0.0020665,          0.00058678,            0.096729,            0.026083,                   0,            0.042427,           0.0054268,           0.0054268
                   8,            0.083742,            0.034085,                   0,           0.0024242,             0.36975,            0.003252,          0.00097795,            0.090664,            0.027717,                   0,            0.034975,           0.0059754,           0.0059754
                   9,            0.080769,            0.035508,                   0,           0.0026446,             0.40336,           0.0051958,           0.0014961,            0.089119,            0.027855,                   0,            0.027492,           0.0064922,           0.0064922
                  10,            0.077435,             0.03842,                   0,           0.0028926,             0.44118,           0.0099783,           0.0026148,            0.086965,            0.028065,                   0,            0.019977,           0.0069774,           0.0069774
                  11,            0.076931,            0.038758,                   0,           0.0043792,             0.30672,           0.0058621,           0.0014233,            0.089225,            0.029533,                   0,            0.012431,           0.0074309,           0.0074309
                  12,             0.07731,            0.034011,                   0,            0.043897,            0.037815,            0.017129,           0.0045603,            0.086061,             0.03104,                   0,            0.007624,            0.007624,            0.007624
                  13,            0.076206,            0.033986,                   0,            0.067058,            0.054363,             0.01585,           0.0053075,            0.079515,            0.031523,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.074748,            0.037943,                   0,            0.043997,            0.063025,            0.013382,           0.0041655,            0.087426,            0.029667,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.070207,            0.037749,                   0,            0.032015,            0.063025,           0.0080042,            0.001876,            0.092297,            0.025408,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.070306,            0.033338,                   0,            0.042104,            0.033613,           0.0086924,           0.0029689,            0.098752,            0.022225,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.068054,            0.036783,                   0,            0.054692,            0.021008,           0.0074755,           0.0020801,             0.10026,            0.024004,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.066582,            0.036864,                   0,            0.059354,            0.071429,            0.015282,           0.0044143,            0.087231,            0.026736,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.066329,            0.037734,                   0,            0.074973,            0.096639,             0.01784,           0.0047028,            0.085156,            0.027376,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.065883,             0.03602,                   0,            0.080597,             0.10504,            0.031466,           0.0080131,            0.076548,             0.02999,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.063691,            0.039861,                   0,            0.086575,             0.13866,            0.039689,            0.012115,            0.071587,            0.030722,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.062828,            0.037792,                   0,             0.12343,             0.18908,            0.060045,            0.018462,            0.068318,            0.030211,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.061286,            0.039258,                   0,             0.12922,             0.18908,            0.070916,            0.022334,            0.066162,            0.030611,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.061916,            0.033713,                   0,             0.14856,              0.2605,            0.088523,            0.028577,            0.061436,            0.030805,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.058998,            0.038493,                   0,             0.17381,              0.2605,             0.10266,            0.033821,            0.061941,            0.029973,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.059513,             0.03641,                   0,             0.17881,             0.22269,             0.10692,            0.039088,            0.061517,            0.030657,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.058062,            0.037333,                   0,             0.15895,             0.21429,            0.093253,            0.036334,            0.062771,            0.030426,                   0,            0.004852,            0.004852,            0.004852
                  28,             0.05885,            0.038301,                   0,             0.17246,             0.19748,            0.093761,            0.034169,            0.062661,            0.029256,                   0,            0.004654,            0.004654,            0.004654
